id	surface	gloss	level
19769	그만두다	Stop or  discontinue	B
19773	그만큼	That much or  to that extent	B
19775	그만하다	Be about the same or  be neither better nor worse	B
19825	그분	That person (respectful)	A
19828	그사이	The while or  the meantime	C
19872	그이	That person or  he or him / she or her	C
19881	그저	1) still or  all the time  2) easily or  with no effort	C
19885	그저께	The day before yesterday	C
19886	그전	former days, the past, the other day	C
19888	그제서야	Then	C
19889	그제야	For the first time or  not ... until	C
19890	그중	among the rest of them; the most	B
19896	그쪽	Those people	A
19901	그치다	Stop or  cease or  halt	B
19906	그토록	So much or  to such an extent	C
19907	그해	That year	B
19911	극	Drama or  play	C
19982	극복	Conquest or  subjugation	C
19983	극복하다	To overcome or  surmount	C
20032	극작가	A dramatist	C
20037	극장	Theater or  playhouse	A
20094	극히	Exceedingly or  extremely	C
20100	근거	Basis or  foundation	C
20115	근거하다	To base sth on sth	C
20125	근교	Suberbs	C
20163	근데	But or  however	B
20166	근래	Of late or  recently	C
20171	근로	Labor or  exertion	C
20177	근로자	Laborer	B
20193	근무	Duty or  service or  work	B
20204	근무하다	Work or  labor	B
20209	근본	The foundation or  basis	C
20217	근본적	foundational, fundamental	C
20263	근원	The origin or  root or  source	C
20281	근육	Muscles	C
20360	근처	Nearby or  the vicinity	A
20378	글	words, a verse	B
20438	글쎄	Now or  well or  let me see	B
20440	글쎄요	Now or  well or  let me see	B
20441	글쓰기	Writing	B
20442	글씨	1) Handwriting 2) a letter or  an ideograph or  a character	B
20449	글자	a letter, a character	B
20469	긁다	Scratch or  scrape	C
20487	금	Gold	B
20488	금	A line (draw)	C
20501	금강산	The Diamond Mountains	C
20509	금고	A safe or  strongbox	C
20544	금년	This year	B
20579	금메달	Gold medal	C
20604	금방	Just now or  a moment ago	B
20643	금세	In a moment or  at once	C
20686	금액	Amount ofmoney	C
20696	금연	Prohibition of smoking	B
20705	금요일	Friday	A
20807	금지	Forbidden or  prohibitted	B
20813	금지되다	To be forbidden or prohibited	C
20828	금지하다	To restrain or prohibit	B
20841	금하다	1) suppress or  restraint 2) abstain from or  restrain from	C
20853	급	Class or  grade or  rank	A
20872	급격히	Be rapid or  sudden	C
20934	급속히	Rapidly or  swiftly	C
20984	급증하다	Surge or  sudden rapid increase	C
21014	급하다	Be urgent or  pressing or  iminent	B
21024	급히	Fast or  quickly or  in a hurry	C
21026	긋다	1) draw or  mark   2) strike	C
21037	긍정적	Affirmation or  admission	B
21045	기13	1) energy  2) breath or  wind	C
21046	기23	A flag or  a banner	C
21061	기간	A period or  a time or	B
21081	기계	An instrument or  a machine	B
21178	기관	An engine or  a machine	C
21222	기구	Structure or  framework	C
21223	기구	A utensil or  tool	C
21250	기기	Machinery and tools	C
21274	기념	Commemoration	C
21299	기념일	Commemoration day	C
21304	기념품	A momento	C
21307	기념하다	Commemorate	C
21319	기능	Ability or capacity or skill	C
21320	기능	Function or functionality	C
21357	기다	Crawl or creep	C
21363	기다리다	To wait	A
21371	기대	Expectation	B
21378	기대다	1) To rely upon or  lean upon 2) lean against	C
21380	기대되다	To be expected	C
21389	기대하다	To expect or look forward to	B
21395	기도	A prayer	B
21408	기도하다	To pray	C
21412	기독교	Christianity	C
21452	기둥	A pillar	C
21498	기록	A record or  a document	C
21504	기록되다	To be recorded or written down	C
21515	기록하다	To record and write down	B
21528	기르다	Educate or train or cultivate (2) to grow long hair	B
21537	기름	Oil or  fat	B
21601	기막히다	Be at a loss for words	C
